County,Population
Adams,35809
Allen,385410
Bartholomew,82208
Benton,8719
Blackford,12112
Boone,70812
Brown,15475
Carroll,20306
Cass,37870
Clark,121093
Clay,26466
Clinton,33190
Crawford,10526
Daviess,33381
Dearborn,50679
Decatur,26472
DeKalb,43265
Delaware,111903
Dubois,43637
Elkhart,207047
Fayette,23398
Floyd,80484
Fountain,16479
Franklin,22785
Fulton,20480
Gibson,33011
Grant,66674
Greene,30803
Hamilton,347467
Hancock,79840
Harrison,39654
Hendricks,174788
Henry,48914
Howard,83658
Huntington,36662
Jackson,46428
Jasper,32918
Jay,20478
Jefferson,33147
Jennings,27613
Johnson,161765
Knox,36282
Kosciusko,80240
LaGrange,40446
Lake,498700
LaPorte,112417
Lawrence,45011
Madison,130129
Marion,977203
Marshall,46095
Martin,9812
Miami,35962
Monroe,139718
Montgomery,37936
Morgan,71780
Newton,13830
Noble,47457
Ohio,5940
Orange,19867
Owen,21321
Parke,16156
Perry,19170
Pike,12250
Porter,173215
Posey,25222
Pulaski,12514
Putnam,36726
Randolph,24502
Ripley,28995
Rush,16752
St. Joseph,272912
Scott,24384
Shelby,45055
Spencer,19810
Starke,23371
Steuben,34435
Sullivan,20817
Switzerland,9737
Tippecanoe,186251
Tipton,15359
Union,7087
Vanderburgh,180136
Vermillion,15439
Vigo,106153
Wabash,30976
Warren,8440
Warrick,63898
Washington,28182
Wayne,66553
Wells,28180
White,24688
Whitley,34191
