text,label
"One of the most notorious of the banned ""Video Nasties"" of the 1980s is also one of the most excessively over-hyped. ""Make Them Die Slowly"" is about what you'd expect from an Umberto Lenzi-directed jungle potboilerinventive (yet poorly rendered) native torture techniques, some ridiculous ""social commentary"" (yes, even sillier than ""Cannibal Holocaust""), and lots of guts being chewed. The film's exploitative violence, though, is often only shown in brief close-up, and never dwelt on for very long, which diminishes its effect (interpret that how you may). The dialog is Lenzi's usual silliness, as our male heroes show their affection for females by calling them ""tw@t"" and the like. The cast of familiar faces (including Lorraine De Selle, Giovanni Lombardo Radice, Zora Kerowa, and Robert Kerman) does their best in the face of the escalating idiocy (including a completely ludicrous ""castration preservation""), but cannot save this overworked, lousy effort.",0
"This film holds 7.0 rating on IMDb, so even I sensed something rotten in it's synopsis I decided to try it out. What a waste of 100 minutes. First of all, the 80's were not a good decade for crime and thriller genre. Most of these, in those days were badly done with silly plot (if they had any), so there are very few that can stand out, and even if they were good they are still not very good. The Hit, however suffers from everything that made silly crime pictures silly. It has poor character development, improbable plot and wasn't written or directed in a decent manner, and when you have such shortcomings the acting doesn't help. Stephen Frears often tried to emulate French new wave in English style film making and the two don't match.<br /><br />First of all Terence Stamp is 10 years in hiding because he testified against some of his former partners in crime. He hides in Spain, of all places. He is finally caught up with, and than first kidnapped by a group of silly looking Spanish thugs, just do be driven away some distance to the two hit man that are supposed to deal with him. These two are John Hurt, who is supposed to be hard boiled, stone cold killer, and Tim Roth (in his first role) as the devil's apprentice. They don't kill Stamp right away, they first dispose of the ""three Amigos"", they shouldn't have hired in the first place, and then, they are driving Stamp to Paris, because one of the buddies he testified against wants to confront him. OK that's possible. But even with Stamp being such a dangerous figure that they had to hire four guys to overpower him, they don't tie him down, don't incapacitate him in any way, and drive around with him, like he's one of the buddies. Stamp doesn't object and is happily going to Paris to be shot, not using any of a half a dozen chances, these ""professionals"" offer for him to escape. Than it appears that Tim Roth is just a school boy bully, making the idea of big crime boss teaming him up with a hard core hit man like John Hurt, even more improbable, especially on an important job like that. But than John Hurt is not so hard core himself, he spends twenty minutes of the movie, killing or not killing the totally surplus Australian, played by Bill Hunter, whose only purpose in this film is to introduce the lovely Laura Del Sol, his mistress (who he says is 15, but she looks more like 25), and whose role in the story and acting capabilities suggest that she was offered the role, solely on the basis of being the director's or producer's mistress at the time. After much deliberation, Hurt kills the Australian but takes along his mistress for no apparent reason. Than he wants to kill her but Roth with his ""subtle ways"" convince him not to, so even she kicks him, bites him and scratches him through the entire movie, he stays true to that deeply buried human side of him.<br /><br />Than you have plain idiotic scenes, like when Hurt and Roth lock the car from the outside, trying to prevent the people inside from getting out?!?! Anyway the movie drags on. Tim Roth falls asleep, guarding Terence Stamp with his gun on his chest, and Stamp just waits there watching the waterfall. Than the whole shamble of a plot comes to the point where everything we've seen in the last hour and 20 minutes just goes out through the window. Let's recapitulate, the whole point in not killing Stamp right away (except for having a movie) is to take him to Paris, so his former partner is to have a last word with him. And the whole point in him not running away is that he is prepared to die, saying ""It's just a moment. We're here. Then we're not here. We're somewhere else... maybe. And it's as natural as breathing. Why should we be scared?"" But my friends, here is where the plot twists, Hurt kills the man while still in Spain, and we ask why bother and drive around for days, he could have done it in the first 15 minutes, and than contrary to his philosophy Stamp is very afraid of being killed, so we ask again why didn't he run, and he had plenty chance. Roth gets killed too, but he shouldn't be in the movie at all, and Del Sol, well she's promised a role in this film purely for romantic (read sexual) reasons, so she stays alive again, even she attacked Hurt for the 15th time in the movie. He killed all the others, but not her, she must have maximum screen appearance. The movie was made on a shoe string budget and it shows, but when you have no story and card board characterizations, it shows even more.And yes Fernando Ray appears and goes through the movie as the guest star, having a single audible line of dialog. Awful",0
"Saw the film at it's Lawrence, Kansas premiere. This wavering story about a group of disgruntled highschoolers killing off the competition for prom queen was just awful. It fails for many reasons - bad acting, bad script, no clear point. But mainly it just felt like the filmmakers said to themselves - ""Hey I have some money, so let's make a movie!"" - without really thinking it out. Sorrowfully most indie films that don't make it suffer from just that mentality. They just don't seem to realize that it takes more than money to make a good movie... or in this case, even a watchable one. With this film I do not feel ashamed to say, that if I didn't know some of the crew, I would have walked out. Simple as that.",0
"I have an affection for these twists on British social norms and it is rare that one loses me. But Our Betters did lose me a bit. It's a tale of social climbers and their joy at breaking the rules but personally I found it a little dull. <br /><br />I liked the duchess though she whines a little too much and Constance Bennett amiably fills the role of Lady Greyston, a role that Bette Davis could have played backwards.<br /><br />But the movie comes the life in the third act when Ernest joins the party. He is so lively and fun (and in truth probably wears more makeup then Lady Greyston). He gets the last line of the film and it's a gas!",0
"This is one of those movies you see in the video store that you just HAVE to get because it just looks so horribly bad. And indeed, we couldn't take most of it. There was a lot of fast-forwarding going on.<br /><br />But then we came across a scene where Robert Englund seduces the female protagonist (her name somehow slips my mind at this time). CRIPES. I've never watched a single scene from a film so many times (I'm estimating forty or so). And I've never laughed so hard in my life. You see, Englund has this thing for showing off his loins. I last saw the film a couple months ago, but I can't stop laughing as I type. Anyway, the scene is a montage of shots-- Englund ripping off the lingerie of the girl, Englund riding a horse naked, and some mysterious woman fellating a snake's head. This is absolute genius. You've got to see it for yourself.",0
"Ouch, what a painfully BORING Sci-Fi movie! And that's especially saddening because the opening 15 minutes were so action-packed and full of potential! During the intro, we follow a bunch of nervous security officers and hired hit men as they chase a doctor who escaped from a mysterious laboratory with a briefcase full of top-secret files. As he's about to reveal the supposedly horrible & inhuman events that take place in the lab, he's executed. Figures From then on, the 'action' swifts back and forth between two locations, the aforementioned laboratory and the rural mansion of a corrupt senator (or something), and it quickly becomes clear that the experiments are actually the complete opposite of disturbing. More like dull, pointless and vague. Scientists selected four random persons without living relatives and it's really really really really important that they speak the truth even though a giant machine reads the content of their minds, anyway. They all hide dark secrets from their pasts and people suffer when get revealed; yet I fail to see how these tests could ever result in a humanity-threatening device. Perhaps I missed something, but I doubt it. The interactions between the patients and doctors are even less interesting to follow, as really none of them have personalities. So basically, ""The Brain Machine"" just handles about a bunch of lame people living in an awfully decorated room. The film also could have been half an hour shorter if it weren't for a THOUSAND stagnant shots of buildings! The relocations from the lab to the villa and vice versa are indicated EVERY SINGLE TIME by a five-second shot of the places. Either the makers really needed the padding or they just assumed that all Sci-Fi viewers are morons unable to notice a change of location by themselves. Staring at a forsaken pool with a mansion in the background for the tenth time in only five minutes becomes quite annoying, I assure you. James Best's performance as the reverend with mental issues is rather decent, but one man definitely can't save this thing from being an absolute waste of time. Avoid!",0
"I stopped watching this POS as soon as the snakes started ""taking over"" the plane.<br /><br />At first I thought maybe it should get a ""one"" for the comic relief. But then I realized I could just watch the three stooges for free and laugh more! <br /><br />Whatever respect I might have had for Samuel Jackson has been irreversibly destroyed. And Hollywood demonstrates once again how removed from reality they really are. When I was a kid we used to catch snakes for fun. The only thing snakes would do is huddle at the bottom of the cargo bay. And no amount of Hollywood cartoon snakes can change that.<br /><br />This movie isn't worth a trip to Blockbuster. Be warned: if you pay for it, the only ""victim"" is your dumb ass.<br /><br />If you want to be really scared, I suggest the Descent. If you want humor, go to your local stand up comedy club. Their worst performer will be a million times better than this trash.",0
"Manoj Agrawal after the failure of PARDESI BABU(1998) returned with this film<br /><br />The film has Govinda in 8-9 roles, as his father, mother, grandfather, sister and later-on he also has disguises <br /><br />He in short is a useless detective send on a case by his friend to get proofs against his wife, whose photos he looses at the airport while flirting with Rani<br /><br />He disguises as a Sardarji in the plane and again as a girl The funny part is how easily and in short time he does that?<br /><br />Then he disguises as a french singer and enters a TV to get proofs lol and then as a maharashtrian(yes inside the TV itself) <br /><br />The rest of the film has the same mistaken identities and ends on a predictable note There are some funny scenes like Govinda being bashed by an African and also many other portions <br /><br />Direction by Manoj Agrawal is okay Music is okay<br /><br />Amongst actors Govinda again proves he is one of the most watchable actors He as usual is fantastic though he has done such roles before he fits in all the get ups and roles too well here again though the much hyped 6-7 roles don't actually fit in the film Rani looks fat, teams up well with Govinda thatz it She is nothing great and kept doing such type of roles Amongst rest Nirmal Pandey is as usual Johny Lever is too loud at times and funny in places in 1 role and irritates as the older Tinnu Anand is okay Satish Kaushik is hilarious, Paresh is okay Tanaaz is okay",0
"While the premise behind The House Where Evil Dwells may be intriguing, the execution is downright pathetic. I'm not even sure where to begin as I've got so many problems with this movie. I suppose I'll just number a few of them: <br /><br />1. The Acting  When you see that Edward Albert, Doug McClure, and Susan George (and her teeth) are the stars of your movie, you know you're in trouble? Not that it matters much to me, but these are hardly A-List names. Susan George may have been in a couple of movies I enjoy, but I've never considered her the greatest actress I've ever seen. And in this movie, her acting is embarrassing. As for the other two, the less said the better.<br /><br />2. The Ghosts  The ghosts or spirits or whatever you want to call them reminded me quite a bit of the ghosts in the haunted mansion ride.at Disney World. And, they are about as frightening. And why did they have to be so obvious? Subtlety is not a characteristic of The House Where Evil Dwells.<br /><br />3. The Plot  How predictable can one movie be? The outcome of this movie is painfully obvious once you meet the three main characters. If you couldn't see where this movie was headed after about 15 minutes, you need to see more movies.<br /><br />4. The Convenient Priest  What are the chances that the haunted house you buy just happens to be across the street from a group of Japanese monks? Not to mention that one of them knows the history of your house and comes over, knocks on the door, and asks if you need help removing evil spirits. Absurd is a word that comes to mind.<br /><br />5. Everything Else  It's very difficult for me to think of any positives to write about. I suppose I'll give it a point for the opening scene and a point for the house's architecture. That's a sure sign of a winner  noting the architecture as a highlight of any film doesn't say much about the actual movie.<br /><br />I'll stop. You should be able to get the idea from what I've already mentioned. And, I haven't even mentioned the annoying little girl or the Invasion of the Crabs or a multitude of other problems. Be warned, this thing is horrible.",0
"I only wish there was a grade lower than F to give it! i scored it a 1 in the vote tally.I am grading this not even as a regular film,but as a T&A film,and this is the worst,lamest,crappiest and most awful movie i've seen.the acting,story and music are all terrible,not to mention there isn't even any nudity for the T&A connisuer.it's about a male cheerleader and the viewer is made to sit through many painful scenes of him doing cheers.avoid this piece of trash at all cost! this is the worst of bad 80's teen cinema.",0
