text,label
"This is the best movie I've ever seen! <br /><br />Maybe it's because I live just a few miles from the village were the story take place, and I know how things work out in this area in Sweden. The movie tells the truth, believe me! It both criticizes and honors the lifestyle of Dalarna, and the producer wants people who watch the movie to be more opened minded and care more for your closest friends and relatives.<br /><br />But if you live in another small village anywhere in Sweden (or another country) you will probably also recognize much from this movie.<br /><br />Thank you Maria Blom!",1
"Somebody mastered the difficult task of merging sports with romance. In reality, sports and romance go together like oil and water. So, to successfully put the two together on screen... well, that is about the equivalent of splitting the atom. I never thought it could be done. I will be the first to say that in general I don't like romantic comedies... but I do like sports and most movies about sports. This movie was a pretty good mix of the two. Being a baseball fan, I could really appreciate the comedic ordeal with Ben Wrightman (Jimmy Falon) being a rabid Boston Redsox fan. Anyone who knows anything about baseball knows the curse of the Babe that plagued the Redsox for 86 years, and they know just how nuts about baseball a lot of Redsox fans are. The Farrely brothers did a great job capturing that and it made for good comedy. This was a very good movie that could appeal to many.",1
"This film takes you on one family's impossible journey, and makes you feel every step of their odyssey. Beautifully acted and photographed, heartbreakingly real. Its last line, with its wistful hope, is one of the more powerful in memory.",1
"A powerful adaptation of the best-selling book and the smash Broadway play about the lives of Bessie and Sadie Delany, two ""colored"" sisters who lived past the age of 100. Wonderfully played in their old age by Ruby Dee and Diahann Carroll, respectively, they tell their story in flashbacks to Amy Hill Hearth (played by Amy Madigan), a white New York Times reporter. The flashback and present-day scenes don't have as much inspirational value in them as in the book, but really are powerful. However, certain aspects of the sisters' lives, such as the inter-racial background of their mother and the reasons behind their father's stern personality are not presented clearly. You need to read the book to fully understand these things. Which is just as well, because the book's just as great! Aside from those flaws, it's wonderfully done and performed, especially by Dee and Carroll, and a very powerful and educational movie.",1
"It takes a while to get adjusted to the sound of Sons of The Pioneers , but then you thoroughly enjoy it. If the soundtrack would be played by an orchestra like Max Steiner or Dmitri Tiomkin it would lose its folkloric character. The music conducts the film, everything seems to follow its rhythm. The whole cast is excellent. Ben Johnson and Harry Carey Jr. are the young men guiding the caravan. Ward Bond is the Mormon leader and Joanne Dru is a flirting actress. Ford was able to make of what would be an ordinary western, something totally different and original showing us the music, the dances, and most of all, the people.",1
"If you're tired by the same repetitive, unintelligent material that the mainstream movie industry releases, you'll enjoy ""You Are Alone"". It is thought provoking, well shot and riveting.<br /><br />Without revealing anything that you don't find out in the first few minutes of the movie, this is the story of a young white high school girl from an upper middle class environment who is working as an escort and is discovered by her neighbor. The vast majority of the movie occurs in a hotel room where he hired her to come.<br /><br />Through their discussion, you explore two shifting views of prostitution, depression, loneliness. Yet the movie is not depressing. It talks about dark things without being depressing.<br /><br />As a viewer, your emotions and preconceived notions are moved around, but gently. You come out of it with a lot to think about. I like that in a movie.",1
"One of the great classic comedies. Not a slapstick comedy, not a heavy drama. A fun, satirical film, a buyers beware guide to a new home.<br /><br />Filled with great characters all of whom, Cary Grant is convinced, are out to fleece him in the building of a dream home.<br /><br />A great look at life in the late 40's.<br /><br />",1
An excellent family movie... gives a lot to think on... There's absolutely nothing wrong in this film. Everything is just perfect. The script is great - it's so... real... such things could happen in everyone's life. And don't forget about acting - it's just awesome! Just look at Frankie and You'll know what I thought about... This picture is a real can't-miss!!!,1
"My sisters and my cousin(female) forced me to see this chick movie. Its not the kind of movie I would prefer to see, but it really wasn't that bad. I wouldn't want to see this movie, but after watching it I couldn't say it was bad, just not my kind of film. It was very accurate in acting out what woman really talk about and do in certain situations. As a guy, I wasn't TOO amused by the jokes, but man the women sure were. They related to the movie and yeah it was funny to see themselves on the big screen. ""OH EM GEE I DO THAT TO HAHA"" I've never seen the original, nor would I care to. If you are a girl, this is a must see, but maybe girls would say this movie sucked, probably. I don't see a 13 year old going, ""Wow I remember going threw that when I was 30.""<br /><br />No man would have this in there collection, but I can't say it was horrible, so meh.",1
"I usually have a difficult time watching a TV movie, the extra long commercial breaks will break my concentration and I give up and find a good book. This one however made me put up with the adds and stay with it to the end. I realize the movie was based on a true story but it was not brought out why it took so long to find Denny? They had his name and I would presume his social security number. While he did move around a lot it would seem he would be found as soon as his number was entered for a job etc. The actors seemed a bit old for the part and a buried metal object when dug up had no rust. These were only technical glitches and did not take from the file. For a LifeTime Movie it was better than most.",1
